Date,ASHOKLEY_Close,TATAMOTORS_Close,Spread,zscore
2018-08-06,118.25,254.0500030517578,-135.8000030517578,-0.9266176249781035
2018-08-07,119.5500030517578,251.6000061035156,-132.0500030517578,-0.8040308428834215
2018-08-08,125.6999969482422,255.1499938964844,-129.4499969482422,-0.7190371411083515
2018-08-09,129.25,257.85000610351557,-128.60000610351557,-0.691251103117691
2018-08-10,127.5500030517578,250.1000061035156,-122.5500030517578,-0.49347766157689366
2018-08-13,125.5,248.6999969482422,-123.19999694824219,-0.514725837617215
2018-08-14,126.0,248.8000030517578,-122.80000305175781,-0.5016501137165396
2018-08-16,126.1999969482422,251.3000030517578,-125.10000610351561,-0.576836773162656
2018-08-17,128.35000610351562,258.25,-129.89999389648438,-0.7337474551983346
2018-08-20,128.30000305175778,270.10000610351557,-141.80000305175778,-1.1227564763295936
2018-08-21,128.69999694824222,268.79998779296875,-140.09999084472653,-1.0671834027344897
2018-08-23,132.30000305175778,256.89999389648443,-124.59999084472665,-0.560491370076475
2018-08-24,129.19999694824222,255.5,-126.30000305175778,-0.6160644436715751
2018-08-27,132.85000610351562,258.79998779296875,-125.94998168945312,-0.6046223123464217
2018-08-28,132.35000610351562,260.0,-127.64999389648438,-0.6601953859415255
2018-08-29,131.89999389648438,261.70001220703125,-129.80001831054688,-0.7304792724335057
2018-08-30,130.85000610351562,259.35000610351557,-128.49999999999994,-0.6879819227390755
2018-08-31,129.05000305175778,267.5,-138.44999694824222,-1.013245418135589
2018-09-03,133.44999694824222,266.60000610351557,-133.15000915527335,-0.8399898318206162
2018-09-04,127.8499984741211,261.95001220703125,-134.10001373291016,-0.8710452995933397
2018-09-05,127.4499969482422,266.5,-139.0500030517578,-1.0328595027934944
2018-09-06,129.69999694824222,269.95001220703125,-140.25001525878903,-1.0720876721093064
2018-09-07,132.0,277.39999389648443,-145.39999389648443,-1.240439487856355
2018-09-10,129.64999389648438,275.70001220703125,-146.05001831054688,-1.2616886615104606
2018-09-11,127.75,267.29998779296875,-139.54998779296875,-1.0492039082658922
2018-09-12,127.8499984741211,262.39999389648443,-134.54999542236334,-0.8857551148764314
2018-09-14,131.25,266.60000610351557,-135.35000610351557,-0.9119073108881185
2018-09-17,127.4499969482422,260.25,-132.8000030517578,-0.8285481993023579
2018-09-18,126.4000015258789,251.5,-125.0999984741211,-0.5768365237592098
2018-09-19,125.8000030517578,252.6000061035156,-126.8000030517578,-0.6324093479508665
2018-09-21,122.3000030517578,250.3500061035156,-128.0500030517578,-0.6732716086490942
2018-09-24,120.3499984741211,240.1999969482422,-119.8499984741211,-0.40521502882665517
2018-09-25,121.9000015258789,240.8000030517578,-118.9000015258789,-0.37415981045738106
2018-09-26,120.6500015258789,233.3500061035156,-112.70000457763669,-0.1714830971555514
2018-09-27,120.4000015258789,225.25,-104.8499984741211,0.08513209955207242
2018-09-28,119.0999984741211,223.6999969482422,-104.5999984741211,0.09330455169171788
2018-10-01,120.1500015258789,229.3500061035156,-109.20000457763669,-0.057068767200514965
2018-10-03,119.1500015258789,227.6000061035156,-108.45000457763669,-0.03255141078157858
2018-10-04,118.0500030517578,223.25,-105.1999969482422,0.07369071643725764
2018-10-05,107.75,216.25,-108.5,-0.03418575156744062
2018-10-08,109.1500015258789,212.3500061035156,-103.20000457763669,0.13907008415097608
2018-10-09,110.8499984741211,184.3500061035156,-73.5000076293945,1.1099572985794781
2018-10-10,114.5500030517578,188.75,-74.1999969482422,1.0870747817532946
2018-10-11,111.8000030517578,182.9499969482422,-71.14999389648439,1.186778797618348
2018-10-12,115.8000030517578,183.75,-67.9499969482422,1.2913860852444312
2018-10-15,117.0500030517578,184.3500061035156,-67.3000030517578,1.312634261284753
2018-10-16,120.5500030517578,185.8500061035156,-65.3000030517578,1.3780138784019167
2018-10-17,114.3000030517578,179.9499969482422,-65.64999389648439,1.366572744690548
2018-10-19,112.5,174.6999969482422,-62.19999694824219,1.479352484456277
2018-10-22,112.8000030517578,170.75,-57.9499969482422,1.6182841708302496
2018-10-23,111.4499969482422,170.64999389648438,-59.19999694824217,1.577421910132023
2018-10-24,116.8000030517578,170.64999389648438,-53.84999084472658,1.7523125854431925
2018-10-25,112.8499984741211,165.35000610351562,-52.50000762939453,1.7964432783096957
2018-10-26,113.1500015258789,168.5,-55.349998474121094,1.7032776232018734
2018-10-29,115.25,175.35000610351562,-60.100006103515625,1.548000783145163
2018-10-30,115.0,177.25,-62.25,1.4777178942669693
2018-10-31,114.6999969482422,179.10000610351562,-64.40000915527342,1.407434506581883
2018-11-01,113.3499984741211,179.4499969482422,-66.0999984741211,1.3518621811971188
2018-11-02,117.6999969482422,190.3000030517578,-72.60000610351561,1.1393781761628905
